player_name,team,opponent,position,jersey_number,round,season
Ryan Couchman,Dragons,,Lock,13,21,2026
Chris Randall,Titans,,Lock,13,21,2026
Jacob Liddle,Dragons,,Interchange,14,21,2026
Kurtis Morrin,Titans,,Interchange,14,21,2026
Luciano Leilua,Dragons,,Interchange,15,21,2026
Josh Patston,Titans,,Interchange,15,21,2026
Josh Kerr,Dragons,,Interchange,16,21,2026
Klese Haas,Titans,,Interchange,16,21,2026
Jacob Halangahu,Dragons,,Interchange,17,21,2026
Cooper Bai,Titans,,Interchange,17,21,2026
Moses Suli,Dragons,,Interchange,18,21,2026
Sam Verrills,Titans,,Interchange,18,21,2026
Lyhkan King-Togia,Dragons,,Interchange,19,21,2026
Lachlan Ilias,Titans,,Interchange,19,21,2026
Emre Guler,Dragons,,Reserve,20,21,2026
Michael Molo,Titans,,Reserve,20,21,2026
Christian Tuipulotu,Dragons,,Reserve,21,21,2026
Siale Faeamani,Titans,,Reserve,21,21,2026
Jacob Webster,Dragons,,Reserve,22,21,2026
Adam Christensen,Titans,,Reserve,22,21,2026
Lehi Hopoate,Sea Eagles,,Fullback,1,21,2026
William Kennedy,Sharks,,Fullback,1,21,2026
Jason Saab,Sea Eagles,,Winger,2,21,2026
Sione Katoa,Sharks,,Winger,2,21,2026
Josh Feledy,Sea Eagles,,Centre,3,21,2026
Jesse Ramien,Sharks,,Centre,3,21,2026
Reuben Garrick,Sea Eagles,,Centre,4,21,2026
KL Iro,Sharks,,Centre,4,21,2026
Tolutau Koula,Sea Eagles,,Winger,5,21,2026
Ronaldo Mulitalo,Sharks,,Winger,5,21,2026
Joey Walsh,Sea Eagles,,Five-Eighth,6,21,2026
Braydon Trindall,Sharks,,Five-Eighth,6,21,2026
Jamal Fogarty,Sea Eagles,,Halfback,7,21,2026
Nicho Hynes,Sharks,,Halfback,7,21,2026
Taniela Paseka,Sea Eagles,,Prop,8,21,2026
Addin Fonua-Blake,Sharks,,Prop,8,21,2026
Jake Simpkin,Sea Eagles,,Hooker,9,21,2026
Blayke Brailey,Sharks,,Hooker,9,21,2026
Simione Laiafi,Sea Eagles,,Prop,10,21,2026
Thomas Hazelton,Sharks,,Prop,10,21,2026
Haumole Olakau'atu,Sea Eagles,,2nd Row,11,21,2026
Briton Nikora,Sharks,,2nd Row,11,21,2026
Ben Trbojevic,Sea Eagles,,2nd Row,12,21,2026
Teig Wilton,Sharks,,2nd Row,12,21,2026
Jake Trbojevic,Sea Eagles,,Lock,13,21,2026
Cameron McInnes,Sharks,,Lock,13,21,2026
Nicholas Lenaz,Sea Eagles,,Interchange,14,21,2026
Jesse Colquhoun,Sharks,,Interchange,14,21,2026
Nathan Brown,Sea Eagles,,Interchange,15,21,2026
Billy Burns,Sharks,,Interchange,15,21,2026
Kobe Hetherington,Sea Eagles,,Interchange,16,21,2026
Siosifa Talakai,Sharks,,Interchange,16,21,2026
Ethan Bullemor,Sea Eagles,,Interchange,17,21,2026
Oregon Kaufusi,Sharks,,Interchange,17,21,2026
Fletcher Baker,Sea Eagles,,Interchange,18,21,2026
Hohepa Puru,Sharks,,Interchange,18,21,2026
Blake Wilson,Sea Eagles,,Interchange,19,21,2026
Tuku Hau Tapuha,Sharks,,Interchange,19,21,2026
Onitoni Large,Sea Eagles,,Reserve,20,21,2026
Mawene Hiroti,Sharks,,Reserve,20,21,2026
Aaron Schoupp,Sea Eagles,,Reserve,21,21,2026
Samuel Stonestreet,Sharks,,Reserve,21,21,2026
Zaidas Muagututia,Sea Eagles,,Reserve,22,21,2026
Niwhai Puru,Sharks,,Reserve,22,21,2026
